Country,Region,Gender,Ageyears,Handed,Height,Foot_Length,Arm_Span,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_enery,Importance_owning_computer,Importance_Internet_access,
"USA","DC","M","11","R","139","24","149","1","Rail","21","0.316","7","Gymnastics","0","1000","1000","","460","460",
"OZ","New South Wales","M","12","R","168","26","154","1","Bus","20","0.42","35","Other activities/sports","675","1000","450","450","178","184",
"NZ","Waikato","M","17","R","188","27","180","1","Bus","25","0.442","0","Football/Soccer","250","","500","","","",
"NZ","Auckland","F","15","L","155","22","166","1","Car","15","0.407","0","Football/Soccer","750","","750","","","",
"NZ","Auckland","F","14","R","165","24","165","1","Car","15","0.375","0","Basketball","750","","750","","","",
"UK","East","F","13","R","154","26","154","2","Car","12","0.45","42","Swimming","1000","1000","1000","997","756","895",
"OZ","New South Wales","F","13","R","155","22","154","1","Car","20","0.31","37","Athletics","184","285","444","616","1000","1000",
"USA","PA","F","17","R","183","25","185","2","Car","10","0.3145","42","Rowing","1000","1000","1000","1000","497","722",
"OZ","Victoria","F","15","R","169","23","172","1","Car","12","0.35","35","Dancing","498","663","521","557","787","823",
"UK","South","M","12","R","145","22","150","1","Bus","30","0.12","61","Running/Jogging","835","617","197","1000","0","0",
"NZ","Otago","M","14","R","163","28","166","1","Walk","5","0.358","0","Rugby Union","0","","250","","","",
"OZ","Western OZ","F","12","R","158","24","154","1","Rail","35","0.34","37","Swimming","775","728","876","450","468","681",
"NZ","Wellington","M","13","R","166","24","172","1","Bus","25","0.359","0","Rugby Union","250","","0","","","",
"NZ","Auckland","M","11","L","154","20","158","1","Car","15","0.359","0","Football/Soccer","750","","750","","","",
"OZ","South OZ","M","16","R","180","25","181","1","Car","5","0.28","24","Football/Soccer","829","840","727","764","202","202",
"USA","MO","F","13","R","164","23","157","1","Car","5","0.527","49","Baseball/Softball","800","700","650","800","950","1000",
"CA","Ontario","F","14","R","149","23","147","1","Walk","5","0.329","31","Other activities/sports","1000","1000","1000","872","380","380",
"OZ","Victoria","M","15","R","182","29","168","2","Walk","5","0.31","39","Rugby Union","1000","1000","1000","1000","1000","1000",
"NZ","Auckland","M","11","R","150","25","132","3","Car","15","0","0","Basketball","1000","","1000","","","",
"OZ","Queensland","M","17","R","180","23","180","2","Car","65","0.3","43","Basketball","539","539","196","220","622","645",
"OZ","South OZ","M","11","R","154","26","154","1","Walk","5","0.28","32","Football/Soccer","509","409","704","356","462","610",
"OZ","Queensland","M","13","R","150","24","150","1","Car","5","0.41","26","Basketball","509","498","498","492","1000","1000",
"UK","East Midlands","M","15","R","184","23","108","3","Walk","8","0.25","59","Football/Soccer","550","602","548","555","698","838",
"OZ","New South Wales","F","14","L","171","25","178","1","Bus","16","0.45","24","Netball","671","551","605","204","115","163",
"USA","ID","M","17","R","186","27","229","1","Car","5","0.259","47","Basketball","0","1","2","","3","4",
